,Best Age
2,1613.3302071333912
3,445.14324586809204
4,1966.1290409003147
5,1936.533706158859
6,372.93768847470676
7,456.32670522717643
8,424.4205811571446
9,226.61188917559602
10,2021.9019780437743
11,557.1003942400289
12,938.9835419308445
13,782.3146306994485
14,2491.9637314853403
15,1849.575291339206
16,427.09456191958014
17,400.39423508780516
18,337.0085316176697
19,447.8883932259323
20,455.7554772420298
21,352.82460814084493
22,394.0524016750781
23,2581.11090828187
24,285.84436676046005
25,1959.3452955457083
26,1918.3836246333697
28,1917.5014793022772
29,2935.970306797671
30,473.4710541705286
31,1613.657837772081
32,406.2636467522735
33,600.6661086661185
34,424.04732927831424
35,1170.9231324551777
36,425.87268429676567
37,444.78891906167576
38,443.0932589030534
39,2523.334421197062
40,327.85148218987234
41,289.5313761342248
42,1757.9395492168758
43,215.1610925293031
44,586.6596368442634
45,321.37457133162445
46,1015.0511493629017
47,1843.5171849713931
48,411.7535235855792
49,328.87169034854054
50,247.53209966710423
51,791.5394315528989
52,1384.7336663513097
53,338.15517977396246
54,429.39547501173394
55,371.2305935985572
56,2487.4039497669455
58,327.2810228227872
59,515.2627744221282
60,441.919131455931
61,2018.6214905190416
62,303.6671422431154
63,430.0004247408953
64,435.32646866633024
65,219.96181438763037
66,339.71600428244125
67,443.1947075391244
68,1956.6191484700175
69,976.2724175628728
70,341.49959120910614
71,407.61922326393795
72,301.80529620401904
73,956.4287106918259
74,415.8740208452008
75,288.6197972730337
76,1201.6254696918954
77,468.2559703138359
78,306.2549563991909
79,296.8136582322882
80,392.69952324070704
81,436.6835752388198
82,415.9812953561037
83,396.08269602780877
84,311.28474377894565
85,296.0476644808591
86,372.8157613503126
88,431.0343010528067
89,1970.6277851176749
90,307.89094281583704
91,443.11162233695666
92,441.11433595553575
93,294.72857979087496
94,1291.36696847499
95,431.1993063062792
96,442.6528208730423
97,446.1357158051465
98,598.3846557810717
99,325.68620339001524
100,2258.3671751077063
101,436.65620417652974
102,453.52677891799414
103,346.8059811049892
104,335.4764577096305
105,832.1508381436865
106,322.9718631340675
107,437.8712845345498
108,303.67154298838057
109,440.06009793186854
110,419.5874387419193
111,922.8573260827856
112,444.00135658469577
113,822.9581389303972
114,454.39126285837085
115,438.699800360172
116,398.46101447645776
118,316.64024509814675
119,339.1749430715919
120,430.76987005903806
121,530.080694946802
122,423.60726012117766
123,626.989124088045
124,333.7541645544954
125,935.9237001718031
126,455.4825913619694
127,403.8451843956673
128,411.74225165171976
129,386.81912338144565
130,323.8065878372025
131,493.1413740474047
132,305.1033946737778
133,1734.2756807453418
134,412.32901563501645
135,367.9660271996826
136,363.23943250476236
137,2485.4720598314625
138,322.24465543067623
139,371.4621298623568
140,303.2914531602392
141,281.8134788063422
142,394.4265682869919
143,701.1160066998676
144,383.2272427106507
145,303.0949122884441
146,806.2622207686267
147,456.81108192128573
148,502.58108735932313
150,753.6948488297215
151,310.0312007398588
152,325.4636331429122
153,661.3524266347471
154,436.7076856652769
155,2247.205399789554
156,883.934811629539
157,436.623039063442
158,413.3030772457393
159,437.9087194702783
160,824.8573049569517
161,501.94913086080936
162,325.396575885606
163,1022.9247766650504
164,391.1092449485417
165,1724.355347673512
166,293.2117807850745
167,394.39735619203714
168,433.34088171799664
169,273.05407807252595
170,440.067712209242
171,428.68997503704395
172,293.81894418496114
173,452.22956527176416
175,383.0041056871086
176,418.41993302252274
177,783.5232788428129
178,445.69806543015534
179,511.43717997099105
180,282.4414004352784
181,336.25431281972305
182,1473.694125661429
183,441.6374876454728
184,430.489927340476
185,406.2772370915176
186,451.2406094065551
187,426.9908140158023
188,324.699632377043
189,287.57173531130803
190,465.4175650126819
191,1013.8954799099957
192,377.13870717839166
193,362.24184641415735
194,489.0507545220072
195,263.27246489212047
196,303.77358914120924
197,462.5807271171738
198,330.679182907276
199,733.565073286624
201,2811.8905071348568
202,290.81658989182097
203,418.78868160589
204,325.655008847486
205,612.3713992414508
206,414.85982202815546
207,307.5263577542734
208,286.5392903776615
209,302.87234562053334
210,302.683598358211
211,325.80721062919116
212,433.06388599768195
213,375.6654779562195
214,1045.2207314990544
215,431.3750737638269
216,417.23951671944536
217,441.48817946707567
218,449.1266542076469
219,462.24085708704354
220,435.4016280354811
221,806.6361400784888
222,343.7037930776574
223,438.69620588192396
224,873.8709143832481
225,2014.8714157374093
226,435.3034384692768
227,403.4369122471459
228,431.5167857162359
229,310.92484504092863
230,310.2785047959329
232,319.55363925151397
233,313.9781800022862
234,310.73573673451403
235,2510.0944024792975
236,1785.9142159450837
237,403.0690484921577
238,397.8635020286258
239,440.16217922439023
240,294.1108355053812
241,321.34115917392404
242,428.5055113335684
243,305.6420162499311
244,392.5376360146312
245,429.8582805194515
246,298.1361490191816
247,1810.4233953489806
248,762.7218052023228
249,423.80180938147765
250,1632.7151769862187
251,794.0348635596838
252,305.5857093205965
253,444.3574665436405
254,278.8943726565321
255,357.6843823386638
256,1182.856217627409
257,490.60536239450977
258,302.49675929436114
260,318.73156312904223
261,1057.8899796719388
262,291.64309511984663
263,425.8614496765547
264,416.5003412666568
265,831.7613144461792
266,324.412588417278
267,1046.0401681802553
268,341.2549515737946
269,405.11225922168103
270,443.53325053895855
271,339.2718311214537
272,323.2749471328568
273,322.25386074005075
274,387.5715247247154
275,306.06169448914176
276,578.1296575052332
277,1188.012955781748
278,419.57023250051907
279,273.602932993486
280,991.6645037940916
281,354.6538540793095
282,895.0306022983041
283,869.0080758530827
284,434.78205652108437
285,456.0637789907984
286,1841.7886594432912
287,293.49024040612653
288,340.4754979572028
289,962.288472764529
291,433.4857802555182
292,457.702231337068
293,975.3787353939024
294,491.8522193698662
295,292.1202642450954
296,395.25708231244255
297,1122.923182433632
